node,degree,clustering,label
2,53,0.9891146589259797,0
3,87,0.9783480352846833,0
5,89,0.9616956077630235,1
6,84,0.9695926563396443,0
7,89,0.9616956077630235,1
8,88,0.969435736677116,1
9,80,0.970253164556962,0
10,89,0.9616956077630235,1
11,82,0.969286359530262,0
12,84,0.9767641996557659,0
13,83,0.9782544813399942,0
14,88,0.969435736677116,1
15,89,0.9616956077630235,1
16,89,0.9616956077630235,1
17,89,0.9616956077630235,1
19,88,0.969435736677116,1
20,88,0.9652560083594567,1
21,88,0.969435736677116,1
24,89,0.9616956077630235,1
25,88,0.9702194357366771,1
26,87,0.9740711039828923,0
27,88,0.969435736677116,1
28,89,0.9616956077630235,1
30,80,0.9914556962025316,0
32,56,0.9733766233766233,0
33,85,0.9845938375350141,0
34,88,0.9621212121212122,1
37,87,0.9783480352846833,0
38,88,0.9647335423197492,1
39,89,0.9616956077630235,1
40,89,0.9616956077630235,1
41,89,0.9616956077630235,1
42,86,0.9660738714090287,0
43,87,0.9783480352846833,0
44,81,0.9731481481481481,0
45,89,0.9616956077630235,1
46,89,0.9616956077630235,1
48,88,0.9702194357366771,1
49,88,0.9634273772204807,1
51,88,0.9652560083594567,1
52,88,0.9647335423197492,1
53,89,0.9616956077630235,1
54,89,0.9616956077630235,1
55,87,0.9783480352846833,0
56,72,0.9745696400625978,0
58,89,0.9616956077630235,1
59,89,0.9616956077630235,1
60,89,0.9616956077630235,1
61,88,0.9702194357366771,1
62,87,0.9783480352846833,0
63,80,0.9712025316455696,0
64,89,0.9616956077630235,1
65,88,0.9621212121212122,1
67,89,0.9616956077630235,1
68,89,0.9616956077630235,1
69,85,0.9820728291316526,0
70,86,0.9668946648426813,0
71,83,0.977372906259183,0
72,88,0.969435736677116,1
73,88,0.9647335423197492,1
74,89,0.9616956077630235,1
77,84,0.9687320711417097,0
78,85,0.9812324929971988,0
79,89,0.9616956077630235,1
80,87,0.9783480352846833,0
81,84,0.9839357429718876,0
82,87,0.9783480352846833,0
83,84,0.9868043602983362,0
84,85,0.9817927170868347,0
85,84,0.9793459552495697,0
88,79,0.9928594612138916,0
90,82,0.9876543209876543,0
92,86,0.9759233926128591,0
93,84,0.9825014343086632,0
94,88,0.9702194357366771,1
95,87,0.9783480352846833,0
97,74,0.9844502036282858,0
98,88,0.9647335423197492,1
99,87,0.9783480352846833,0
100,86,0.9751025991792066,0
101,87,0.9740711039828923,0
103,88,0.969435736677116,1
104,81,0.9895061728395061,0
105,86,0.9803009575923393,0
107,87,0.9740711039828923,0
108,87,0.9732691793638064,0
109,86,0.9792065663474692,0
110,88,0.9702194357366771,1
112,88,0.9702194357366771,1
113,86,0.9677154582763338,0
